[5.625s][info][gc,task      ] GC(15) Using 8 workers of 8 for evacuation
[6.008s][info][gc,mmu       ] GC(15) MMU target violated: 201.0ms (200.0ms/201.0ms)
[6.008s][info][gc,phases    ] GC(15)   Pre Evacuate Collection Set: 0.1ms
[6.008s][info][gc,phases    ] GC(15)   Evacuate Collection Set: 369.2ms
[6.008s][info][gc,phases    ] GC(15)   Post Evacuate Collection Set: 12.5ms
[6.008s][info][gc,phases    ] GC(15)   Other: 0.5ms
[6.008s][info][gc,heap      ] GC(15) Eden regions: 126->0(126)
[6.008s][info][gc,heap      ] GC(15) Survivor regions: 18->18(18)
[6.008s][info][gc,heap      ] GC(15) Old regions: 729->839
[6.008s][info][gc,heap      ] GC(15) Archive regions: 0->0
[6.008s][info][gc,heap      ] GC(15) Humongous regions: 0->0
[6.008s][info][gc,metaspace ] GC(15) Metaspace: 203K->203K(1056768K)
[6.008s][info][gc           ] GC(15) Pause Young (Normal) (G1 Evacuation Pause) 872M->856M(2891M) 382.438ms
[6.008s][info][gc,cpu       ] GC(15) User=2.80s Sys=0.03s Real=0.38s
[6.362s][info][gc,start     ] GC(16) Pause Young (Normal) (G1 Evacuation Pause)
[6.362s][info][gc,task      ] GC(16) Using 8 workers of 8 for evacuation
[6.753s][info][gc,mmu       ] GC(16) MMU target violated: 201.0ms (200.0ms/201.0ms)
[6.753s][info][gc,phases    ] GC(16)   Pre Evacuate Collection Set: 0.1ms
[6.753s][info][gc,phases    ] GC(16)   Evacuate Collection Set: 374.8ms
[6.753s][info][gc,phases    ] GC(16)   Post Evacuate Collection Set: 16.4ms
[6.753s][info][gc,phases    ] GC(16)   Other: 0.4ms
[6.753s][info][gc,heap      ] GC(16) Eden regions: 126->0(150)
[6.753s][info][gc,heap      ] GC(16) Survivor regions: 18->18(18)
[6.753s][info][gc,heap      ] GC(16) Old regions: 839->948
[6.753s][info][gc,heap      ] GC(16) Archive regions: 0->0
[6.753s][info][gc,heap      ] GC(16) Humongous regions: 0->0
[6.753s][info][gc,metaspace ] GC(16) Metaspace: 203K->203K(1056768K)
[6.753s][info][gc           ] GC(16) Pause Young (Normal) (G1 Evacuation Pause) 982M->966M(3369M) 391.837ms
[6.753s][info][gc,cpu       ] GC(16) User=2.69s Sys=0.06s Real=0.39s
[7.206s][info][gc,start     ] GC(17) Pause Young (Normal) (G1 Evacuation Pause)
[7.206s][info][gc,task      ] GC(17) Using 8 workers of 8 for evacuation
[7.669s][info][gc,mmu       ] GC(17) MMU target violated: 201.0ms (200.0ms/201.0ms)
[7.669s][info][gc,phases    ] GC(17)   Pre Evacuate Collection Set: 0.1ms
[7.669s][info][gc,phases    ] GC(17)   Evacuate Collection Set: 448.9ms
[7.669s][info][gc,phases    ] GC(17)   Post Evacuate Collection Set: 13.9ms
[7.669s][info][gc,phases    ] GC(17)   Other: 0.5ms
[7.669s][info][gc,heap      ] GC(17) Eden regions: 150->0(147)
[7.669s][info][gc,heap      ] GC(17) Survivor regions: 18->21(21)
[7.669s][info][gc,heap      ] GC(17) Old regions: 948->1079
[7.669s][info][gc,heap      ] GC(17) Archive regions: 0->0
[7.669s][info][gc,heap      ] GC(17) Humongous regions: 0->0
[7.669s][info][gc,metaspace ] GC(17) Metaspace: 203K->203K(1056768K)
[7.669s][info][gc           ] GC(17) Pause Young (Normal) (G1 Evacuation Pause) 1116M->1100M(3369M) 463.631ms
[7.669s][info][gc,cpu       ] GC(17) User=3.31s Sys=0.13s Real=0.46s
[8.080s][info][gc,start     ] GC(18) Pause Young (Normal) (G1 Evacuation Pause)
[8.080s][info][gc,task      ] GC(18) Using 8 workers of 8 for evacuation
